transaction_id,customer_name,email,total_amount,product_name,price,total_sold,revenue_generated,payment_method,transaction_date,store_location,category,discount_applied,delivery_status,customer_rating,return_requested,customer_segment,coupon_used
TXN-2000,Allison Hill,jillrhodes@miller.com,129.08,Table Cloth,97.95,,97.95,Debit Card,2024-04-26 22:00:16,Bangalore,Home Decor,5.0,Delivered,5.0,No,Regular,Yes
TXN-2001,Alyssa Gonzalez,shaneramirez@gmail.com,975.79,Coffee Maker,182.72,5.0,913.6,PayPal,2025-06-09 14:05:08,Pune,Home Appliances,30.0,Pending,4.0,,New,Yes
TXN-2002,Melissa Peterson,susanrogers@james.com,1715.99,Running Shoes,561.53,3.0,1684.59,Debit Card,2025-02-09 03:09:36,Kolkata,Sportswear,5.0,Delivered,4.0,Yes,New,No
TXN-2003,Andrew Stevens,smiller@montgomery.com,293.29,Cushion Cover,218.97,1.0,218.97,PayPal,2023-12-03 19:07:10,Delhi,Home Decor,30.0,Delivered,5.0,No,,No
TXN-2004,Patricia Galloway,,171.26,Curtains,161.91,1.0,161.91,Debit Card,2025-04-26 07:46:11,Chennai,Home Decor,5.0,Pending,1.0,No,New,No
TXN-2005,Maria Lynch,frankgray@watts.com,1378.07,Table Cloth,668.95,2.0,1337.9,Debit Card,2024-04-24 02:39:23,Chennai,Home Decor,5.0,Pending,5.0,,Premium,Yes
TXN-2006,Renee Morales,robinbradley@edwards.info,380.15,Olive Oil,309.77,,309.77,Debit Card,2024-02-17 04:12:38,Kolkata,Groceries,0.0,Pending,1.0,No,Loyal,No
TXN-2007,David Hoffman,zhurst@yahoo.com,971.65,Vacuum Cleaner,176.68,5.0,883.4,UPI,2024-04-16 13:19:34,Pune,Home Appliances,,,,No,Premium,No
TXN-2008,Brenda Snyder PhD,courtneyconner@carlson-cruz.org,1080.4,Office Desk,204.84,5.0,1024.2,,2024-10-26 17:58:24,Hyderabad,Furniture,30.0,Cancelled,2.0,Yes,,No
TXN-2009,Tricia Valencia,maldonadoamanda@mack-peterson.com,626.59,Coffee Maker,607.07,1.0,607.07,Debit Card,2024-09-30 21:30:10,Hyderabad,Home Appliances,5.0,,4.0,,Loyal,
TXN-2010,Aaron Bowen,williamrodriguez@hotmail.com,846.78,Sneakers,777.15,1.0,777.15,Credit Card,2024-06-17 00:18:18,,Fashion,20.0,Cancelled,1.0,No,Loyal,Yes
TXN-2011,Katie Gonzalez,amberosborne@hotmail.com,100.77,Olive Oil,12.56,,12.56,UPI,2025-10-11 14:51:03,,Groceries,10.0,Delivered,,No,,
TXN-2012,Fred Smith,john39@gmail.com,317.72,Yoga Mat,130.74,2.0,261.48,PayPal,2024-01-03 17:35:13,Mumbai,Sportswear,25.0,,1.0,Yes,New,No
TXN-2013,Rose Spence,donnaarroyo@baker.biz,373.76,Jacket,55.76,5.0,278.8,Credit Card,2024-04-10 17:05:44,Jaipur,Fashion,5.0,Pending,2.0,,Loyal,
TXN-2014,Nicole Vaughn,pcarney@yahoo.com,1142.15,Running Shoes,219.39,5.0,1096.95,Debit Card,2024-10-03 11:40:06,,Sportswear,15.0,Cancelled,4.0,,New,No
TXN-2015,Jocelyn Wright,,759.69,Laundry Basket,366.67,2.0,733.34,UPI,2023-12-20 13:19:27,Mumbai,Household,15.0,Pending,1.0,Yes,Regular,Yes
TXN-2016,Shannon Jones,elizabeth38@cummings.org,2187.57,Vacuum Cleaner,725.28,3.0,2175.84,Debit Card,2024-10-30 08:07:03,Chennai,Home Appliances,,Pending,5.0,Yes,,
TXN-2017,John Russell,hopkinsmichael@owens-daniel.com,889.59,Pasta Pack,201.97,4.0,807.88,Debit Card,2023-12-15 06:47:35,Delhi,Groceries,,,3.0,No,Loyal,No
TXN-2018,Gerald Hensley,jameswest@white-ford.com,556.31,Smart Refrigerator,541.96,,541.96,Cash,2024-10-07 09:26:48,Kolkata,Home Appliances,5.0,Pending,2.0,Yes,,No
TXN-2019,Savannah Garcia,housemelinda@russell.com,1078.82,Office Desk,343.29,3.0,1029.87,Credit Card,2025-08-30 19:08:33,Jaipur,Furniture,5.0,Delivered,,,Regular,Yes
TXN-2020,Anthony Gray,sara74@yahoo.com,616.29,Jacket,141.39,4.0,565.56,Cash,2025-04-22 06:17:52,,Fashion,10.0,,1.0,No,New,No
