transaction_id,customer_name,email,total_amount,product_name,price,total_sold,revenue_generated,payment_method,transaction_date,store_location,category,discount_applied,delivery_status,customer_rating,return_requested,customer_segment,coupon_used,profit
TXN-2000,Allison Hill,jillrhodes@miller.com,129.08,Table Cloth,97.95,,97.95,Debit Card,26-04-2024 22:00,Bangalore,Home Decor,5,Delivered,5,No,Regular,Yes,97.95
TXN-2001,Alyssa Gonzalez,shaneramirez@gmail.com,975.79,Coffee Maker,182.72,5,913.6,PayPal,09-06-2025 14:05,Pune,Home Appliances,30,Pending,4,No,New,Yes,0
TXN-2002,Melissa Peterson,susanrogers@james.com,1715.99,Running Shoes,561.53,3,1684.59,Debit Card,09-02-2025 03:09,Kolkata,Sportswear,5,Delivered,4,Yes,New,No,0
TXN-2003,Andrew Stevens,smiller@montgomery.com,293.29,Cushion Cover,218.97,1,218.97,PayPal,03-12-2023 19:07,Delhi,Home Decor,30,Delivered,5,No,,No,0
TXN-2004,Patricia Galloway,,171.26,Curtains,161.91,1,161.91,Debit Card,26-04-2025 07:46,Chennai,Home Decor,5,Pending,1,No,New,No,0
TXN-2005,Maria Lynch,frankgray@watts.com,1378.07,Table Cloth,668.95,2,1337.9,Debit Card,24-04-2024 02:39,Chennai,Home Decor,5,Pending,5,No,Premium,Yes,0
TXN-2006,Renee Morales,robinbradley@edwards.info,380.15,Olive Oil,309.77,,309.77,Debit Card,17-02-2024 04:12,Kolkata,Groceries,0,Pending,1,No,Loyal,No,309.77
TXN-2007,David Hoffman,zhurst@yahoo.com,971.65,Vacuum Cleaner,176.68,5,883.4,UPI,16-04-2024 13:19,Pune,Home Appliances,,,,No,Premium,No,0
TXN-2008,Brenda Snyder PhD,courtneyconner@carlson-cruz.org,1080.4,Office Desk,204.84,5,1024.2,,26-10-2024 17:58,Hyderabad,Furniture,30,Cancelled,2,Yes,,No,0
TXN-2009,Tricia Valencia,maldonadoamanda@mack-peterson.com,626.59,Coffee Maker,607.07,1,607.07,Debit Card,30-09-2024 21:30,Hyderabad,Home Appliances,5,,4,No,Loyal,No,0
TXN-2010,Aaron Bowen,williamrodriguez@hotmail.com,846.78,Sneakers,777.15,1,777.15,Credit Card,17-06-2024 00:18,,Fashion,20,Cancelled,1,No,Loyal,Yes,0
TXN-2011,Katie Gonzalez,amberosborne@hotmail.com,100.77,Olive Oil,12.56,,12.56,UPI,11-10-2025 14:51,,Groceries,10,Delivered,,No,,No,12.56
TXN-2012,Fred Smith,john39@gmail.com,317.72,Yoga Mat,130.74,2,261.48,PayPal,03-01-2024 17:35,Mumbai,Sportswear,25,,1,Yes,New,No,0
TXN-2013,Rose Spence,donnaarroyo@baker.biz,373.76,Jacket,55.76,5,278.8,Credit Card,10-04-2024 17:05,Jaipur,Fashion,5,Pending,2,No,Loyal,No,0
TXN-2014,Nicole Vaughn,pcarney@yahoo.com,1142.15,Running Shoes,219.39,5,1096.95,Debit Card,03-10-2024 11:40,,Sportswear,15,Cancelled,4,No,New,No,0
TXN-2015,Jocelyn Wright,,759.69,Laundry Basket,366.67,2,733.34,UPI,20-12-2023 13:19,Mumbai,Household,15,Pending,1,Yes,Regular,Yes,0
TXN-2016,Shannon Jones,elizabeth38@cummings.org,2187.57,Vacuum Cleaner,725.28,3,2175.84,Debit Card,30-10-2024 08:07,Chennai,Home Appliances,,Pending,5,Yes,,No,0
TXN-2017,John Russell,hopkinsmichael@owens-daniel.com,889.59,Pasta Pack,201.97,4,807.88,Debit Card,15-12-2023 06:47,Delhi,Groceries,,,3,No,Loyal,No,0
